Cities,Records,Median Salary
SAN+FRANCISCO,1070,135800
MOUNTAIN+VIEW,705,140000
NEW+YORK,559,125000
MENLO+PARK,429,190000
SEATTLE,358,133803
SUNNYVALE,333,141750.18
SAN+JOSE,299,136531
PALO+ALTO,175,137363
SANTA+CLARA,164,131900
CHICAGO,123,100000
BOSTON,119,107000
SAN+BRUNO,86,150000
REDWOOD+CITY,81,125000
AUSTIN,81,102606
ATLANTA,80,105000
BELLEVUE,64,114250
SAN+MATEO,56,126075
FREMONT,55,115000
LOS+ANGELES,49,110000
MILPITAS,47,125000
CAMBRIDGE,47,125000
HOUSTON,41,116135
PLEASANTON,40,125861
SAN+DIEGO,40,107284.22
PITTSBURGH,37,110000
DALLAS,35,116854
ALPHARETTA,34,90795.5
WALTHAM,33,115000
PLANO,31,113027
SANTA+MONICA,31,93500
PHOENIX,28,111347.85
FOSTER+CITY,28,118768
KIRKLAND,27,151000
IRVINE,27,107640
JERSEY+CITY,27,105000
BROOKLYN,26,118000
BURLINGTON,26,108924
OAKLAND,25,124500
BEAVERTON,22,122582.5
DUBLIN,22,109250
MIAMI,20,100000
CAMPBELL,19,115000
CUPERTINO,19,128814
COLUMBUS,19,91600
BEDFORD,19,117156.58
IRVING,19,92000
CHARLOTTE,18,90247.5
ARLINGTON,18,104094.5
TROY,18,103395
BENTONVILLE,17,99933.08
BOWIE,17,93623
INDIANAPOLIS,16,90574
SAN+RAMON,14,128500
SOUTH+SAN+FRANCISCO,14,122527.5
DENVER,14,114600
RICHARDSON,14,115339
TEMPE,14,86826.5
EL+SEGUNDO,13,102717.16
RALEIGH,13,97000
BOTHELL,12,105498.5
ST.+LOUIS,12,93181
RESTON,12,102500
WESTMINSTER,12,84885
NEWARK,11,117539
BURLINGAME,11,145000
STAMFORD,11,98587
HOFFMAN+ESTATES,11,92500
MCLEAN,11,100900
PRINCETON,11,85500
SACRAMENTO,10,105216
CARLSBAD,10,132500
SCOTTSDALE,10,91631.5
MINNEAPOLIS,10,115232.5
SOMERVILLE,10,98143.96
TYSONS+CORNER,10,118934.5
EMERYVILLE,10,107442.5
BELMONT,9,155000
DURHAM,9,106680
NASHVILLE,9,100672
MIDVALE,9,119350
CULVER+CITY,9,140000
PLAYA+VISTA,9,117256
BOULDER,9,145000
LEHI,9,70000
WARSAW,9,110000
SALT+LAKE+CITY,9,120000
SCHAUMBURG,8,105760
NEEDHAM,8,102545
PHILADELPHIA,8,131436.92
CYPRESS,8,98675
SANTA+BARBARA,8,123000
WESTBOROUGH,8,105000
WASHINGTON,8,114928
SAN+LEANDRO,8,112000
LAS+VEGAS,8,74617.5
PARSIPPANY,8,90687
DEARBORN,8,100000
MENOMONEE+FALLS,7,87048
REDMOND,7,120910
HOBOKEN,7,150000
RESEARCH+TRIANGLE+PARK,7,96803
CENTENNIAL,7,93000
LAKE+FOREST,7,145000
VENICE,7,80000
TAMPA,7,105000
LOWELL,7,103250
MIDDLETOWN,7,99000
FORT+LAUDERDALE,7,100000
SHELTON,7,110000
MOORESVILLE,6,127500
RICHFIELD,6,107701.5
EDEN+PRAIRIE,6,122704
NEWTON,6,97551
BOXBOROUGH,6,108981
CARMEL,6,127897
WOODLAND+HILLS,6,96500
ROSELAND,6,95877.5
NORWALK,6,82500
HOPKINTON,6,76950
BERKELEY,6,83709.5
BURBANK,6,113140
LOS+ALTOS,5,160000
BEVERLY+HILLS,5,127580
WAUKESHA,5,130000
HAYWARD,5,130000
GARDENA,5,121160
CRANBERRY+TOWNSHIP,5,110000
NORTH+READING,5,103380
REDWOOD+SHORES,5,136573
UNION+CITY,5,140000
BOISE,5,120000
COLUMBIA,5,106392
PASADENA,5,91000
BRENTWOOD,5,71300
BALTIMORE,5,79040
ADDISON,5,94307
TUCSON,5,80004
LONG+ISLAND+CITY,5,95640
LITTLETON,5,105000
MONROEVILLE,4,136000
SANDY+SPRINGS,4,140000
SOUTH+KIRKLAND,4,142000
SAN+CARLOS,4,137500
NEW+YORK+CITY,4,128592
TOLEDO,4,106478.5
LINCOLN,4,101330
FULTON,4,112050
WILTON,4,95500
NEW+HYDE+PARK,4,95000
BREA,4,96375.12
DULLES,4,95259
LOVES+PARK,4,91759.5
TONAWANDA,4,146110
MARIETTA,4,99000
MARLBOROUGH,4,107500
MANHATTAN+BEACH,4,93500
STERLING,4,92343.5
CHANDLER,4,106640
NASHUA,4,99534.5
HERNDON,4,125000
LOS+GATOS,4,132080
BELLEVILLE,4,83637
HILTON+HEAD+ISLAND,4,74353.5
CINCINNATI,4,77500
HENDERSON,4,70304
LEWISVILLE,4,85698
ANDOVER,4,98937.96
HUNTINGTON+BEACH,4,82500
MEMPHIS,4,58323.5
ALLENTOWN,3,130000
CHAMPAIGN,3,85000
CORNING,3,124342
ALISO+VIEJO,3,130000
FARMERS+BRANCH,3,119438.6
NEWPORT+BEACH,3,175000
WATERTOWN,3,110000
SHREWSBURY,3,106000
GLENDALE,3,129251
MILFORD,3,104550
FRANKLIN,3,120000
HARTFORD,3,123365
WINDSOR,3,101296
EAST+PALO+ALTO,3,140000
EATONTOWN,3,102000
RICHMOND,3,108763
BLOOMINGTON,3,94162
MOON+TOWNSHIP,3,93246
PISCATAWAY,3,91222.8
NORMAN,3,88858
TAYLOR,3,97400
CHELMSFORD,3,88922.25
FORT+WORTH,3,90000
WARREN,3,129334
LA+JOLLA,3,155891
GOLETA,3,100000
FRISCO,3,93558
LONG+BEACH,3,92700
DENVILLE,3,90000
REDLANDS,3,85000
PORTLAND,3,85821
OAK+BROOK,3,83658
ROCKFORD,3,81494
FT.+LAUDERDALE,3,85000
ROYAL+OAK,3,80000
VAN+NUYS,3,89999
HUNTSVILLE,3,81500
MILL+VALLEY,3,101921
WEST+CHESTER,3,74090
EAGAN,3,130000
WILMINGTON,3,90000
WEBSTER,3,85000
SHORT+HILLS,3,72000
SHOREVIEW,3,85920
PROVO,3,120000
EAST+SYRACUSE,3,89000
MASON,3,70000
LEXINGTON,3,77500
VISTA,3,69000
ST.+CHARLES,3,70470
MARION,3,75000
EVERETT,3,102606
ENGLEWOOD,3,82056
ALLEN+PARK,3,94224
GAINESVILLE,3,77480
MENTOR,3,82000
LIVERMORE,2,201500
SLEEPY+HOLLOW,2,176894
NORTH+BEND,2,176559
STATEN+ISLAND,2,171000
BROOKLYN+HEIGHTS,2,150010
FAIR+LAWN,2,140000
UNION,2,139000
MAYFIELD+HEIGHTS,2,151869.56
WALNUT+CREEK,2,151517.5
BRANFORD,2,130000
ALAMEDA,2,136500
CORNELIUS,2,125000
TUALATIN,2,122907
ROSEMONT,2,122796.26
NOVI,2,121529.5
ELMHURST,2,120474
HEWLETT,2,150000
DRAYTON,2,120000
GAITHERSBURG,2,120000
POWELL,2,120000
HONOLULU,2,120000
LIVONIA,2,141492
SOUTH+JORDAN,2,122500
KANSAS+CITY,2,115000
FORT+COLLINS,2,112788
CARROLLTON,2,112981
ELK+GROVE+VILLAGE,2,117458.745
EAST+MEADOW,2,110000
HACKENSACK,2,110000
FITCHBURG,2,110000
ROANOKE,2,110000
ROCKVILLE,2,108434
WELDON+SPRING,2,107150
GREENSBORO,2,107825
AURORA,2,118321
LAWRENCE,2,108296.44
TORRANCE,2,106434
MARENGO,2,115488
CUMMING,2,108863
DUNWOODY,2,105760
BUFFALO,2,112486.5
MARINA+DEL+REY,2,117500
CARLISLE,2,106607
LAKE+ZURICH,2,103012
MILWAUKEE,2,105656.18
MILLIS,2,111000
WESTFORD,2,105411
MOUNT+PROSPECT,2,101605
MIDDLETON,2,100000
RIVERWOODS,2,99972
BROOMFIELD,2,104393.5
ORANGE,2,102731.5
SANFORD,2,99000
RUTHERFORD,2,99185
FAIRFAX,2,123838.5
ALEXANDRIA,2,97094
MINNETONKA,2,96090
NEW+PORT+RICHEY,2,107702
SOLON,2,112500
SPARKS,2,105000
OWINGS+MILLS,2,100750
HIGHLANDS+RANCH,2,92600
NATICK,2,125345.48
NEW+ORLEANS,2,92373
WEST+HOLLYWOOD,2,118500
SUNRISE,2,104000
BETHESDA,2,94634
GLEN+ALLEN,2,95396
FORT+MILL,2,103636
WOBURN,2,95050.08
LANSDALE,2,115000
WAUKEGAN,2,103260
VALENCIA,2,101524
ANN+ARBOR,2,100000
LOUISVILLE,2,94369
NOVATO,2,114824
ASHBURN,2,94624.5
DALY+CITY,2,89149
BRIGHTON,2,98500
AUBURN+HILLS,2,96137.5
EDMOND,2,86000
SEYMOUR,2,95958.5
LAKEVILLE,2,90989.5
ROCHESTER+HILLS,2,92744
CONCORD,2,115102.5
CORONA,2,88083.59
CEDAR+FALLS,2,85000
BUFORD,2,84500
CANTON,2,92621
BLUE+ASH,2,103388
STATE+COLLEGE,2,90425
JACKSONVILLE,2,87108
CREVE+COEUR,2,93160
ASTORIA,2,83000
URBANDALE,2,100500
PLYMOUTH,2,87415
WEST+SACRAMENTO,2,83179
DUARTE,2,93277.5
PULLMAN,2,98330.5
SAUSALITO,2,76000
CLEVELAND,2,89010.5
MUNDELEIN,2,82500
FARMINGTON+HILLS,2,75000
MILWAUKIE,2,75000
STONY+BROOK,2,75000
WESTON,2,78009
MADISON,2,94283
WINSTON-SALEM,2,73868.5
MORRISVILLE,2,88057
THE+WOODLANDS,2,93500
SMITHFIELD,2,90812.5
ROCHESTER,2,69974.13
O%27FALLON,2,77634
LYNWOOD,2,71625
SCARSDALE,2,95010.5
URBANA,2,67267
RANCHO+CORDOVA,2,71000
MILLERSBURG,2,78374
CUYAHOGA+FALLS,2,65925.5
MCDONOUGH,2,62103
SUITE+310A,2,61000
COSTA+MESA,2,102658.775
SANTA+FE+SPRINGS,2,57325
HOLLYWOOD,2,84831
NORTON+SHORES,2,53259
SOUTH+BARRINGTON,2,60500
OSHKOSH,2,49920
MANCHESTER,2,55249
COMMERCE,2,36600
